Contact ID,Team Member ID,Role,Team: Team ID,Program Cohort: Program Cohort Name,Start Date,Gender,"Hispanic, Latino, or Spanish origin",Race - American Indian or Alaska Native,Race - Asian,Race - Black or African American,Race - Hawaiian or Other Pac. Islander,Race - Other,Race - White
0033n00002p1Sy7,TM-173194,Team Lead,a263n000006Ob2K,"Ascend Energy & Mobility Accelerator 2023, powered by VentureWell and EPIC",8/22/23,Another identity,Prefer not to answer,0,0,1,1,1,0
0033n00002p1cXY,TM-173200,Team Lead,a263n000006OETI,"Ascend Energy & Mobility Accelerator 2023, powered by VentureWell and EPIC",8/22/23,,Yes,0,1,0,0,1,0
0033n00002p1aum,TM-173196,Team Lead,a263n000006OZ86,"Ascend Energy & Mobility Accelerator 2023, powered by VentureWell and EPIC",8/22/23,,Prefer not to answer,1,1,1,0,0,0
0033n00002p1PVL,TM-173186,Team Lead,a263n000006OdhO,"Ascend Energy & Mobility Accelerator 2023, powered by VentureWell and EPIC",8/22/23,Male,Prefer not to answer,0,1,1,0,0,1
0033900002B1HyT,TM-173187,Team Lead,a263n000006Ob2e,"Ascend Energy & Mobility Accelerator 2023, powered by VentureWell and EPIC",8/22/23,,Yes,1,1,0,0,1,0
0033n00002p1iuL,TM-173197,Team Member,a263n000006Ob2t,"Ascend Energy & Mobility Accelerator 2023, powered by VentureWell and EPIC",8/22/23,Prefer not to answer,Yes,0,0,0,0,0,1
0033n00002p1fzn,TM-173188,Team Lead,a263n000006Ob3c,"Ascend Energy & Mobility Accelerator 2023, powered by VentureWell and EPIC",8/22/23,,Yes,0,0,1,1,0,0
0033n00002p1wF3,TM-173189,Team Lead,a263n000006OdhE,"Ascend Energy & Mobility Accelerator 2023, powered by VentureWell and EPIC",8/22/23,Another identity,,1,0,1,0,1,0
0033n00002p2E0s,TM-173190,Team Member,a263n000006bL5a,"Ascend Energy & Mobility Accelerator 2023, powered by VentureWell and EPIC",8/22/23,Female,No,1,1,0,0,1,0
0033n00002nVNAc,TM-173191,Team Member,a263n000006OETI,"Ascend Energy & Mobility Accelerator 2023, powered by VentureWell and EPIC",8/22/23,,Prefer not to answer,0,1,0,1,0,0
0033n00002nVNAd,TM-173192,Team Member,a263n000006OETI,"Ascend Energy & Mobility Accelerator 2023, powered by VentureWell and EPIC",8/22/23,Male,Yes,0,1,0,1,1,1
0033n00002ngh8q,TM-173193,Team Lead,a263n000006bL5a,"Ascend Energy & Mobility Accelerator 2023, powered by VentureWell and EPIC",8/22/23,Female,No,1,1,1,1,1,0
0033n00002p1Zfl,TM-173195,Team Lead,a263n000006Odhd,"Ascend Energy & Mobility Accelerator 2023, powered by VentureWell and EPIC",8/22/23,Another identity,Yes,0,0,1,1,1,1
0033n00002p1olO,TM-173199,Team Lead,a263n000006Ob2t,"Ascend Energy & Mobility Accelerator 2023, powered by VentureWell and EPIC",8/22/23,Female,Yes,0,1,1,1,0,0
